edge,r,p,q
e0,0.2864396430993823,1.0956484267843113e-15,2.85011812980494e-14
e1,0.2799352994385383,5.0406542415679695e-15,1.0785916065290601e-13
e2,0.18042477733702628,6.236723262528642e-07,1.4471874174944026e-06
e3,0.19621125400124098,5.6954946594375154e-08,1.656054116347261e-07
e4,0.22635298856024472,3.3270169232591554e-10,1.7143354938595855e-09
e5,0.2085815011096419,7.56790266075611e-09,2.715003838994891e-08
e6,0.10385117111373353,0.004334316926989273,0.005372004661627214
e7,0.23702740661701613,4.4721560852665004e-11,2.8970021515886507e-10
e8,0.17255623962529762,1.907406290593663e-06,3.985027315780986e-06
e9,0.23101863418828264,1.400862722554514e-10,7.990016674931163e-10
e10,0.19568199362482053,6.191691706178858e-08,1.7839100181404266e-07
e11,0.1776266000631376,9.333970014751794e-07,2.0816541891018795e-06
e12,0.2371887201364744,4.3352680485620645e-11,2.824879966155373e-10
e13,0.15950088576633512,1.0937797282869096e-05,1.9936084074839257e-05
e14,0.20378911091002314,1.6792263786926262e-08,5.5583175209552995e-08
e15,0.12596456840606118,0.000530939782983277,0.0007345454450338718
e16,0.16678183850217693,4.198697424929181e-06,8.229496577966186e-06
e17,0.29735697054955934,7.721040570333432e-17,2.87193845513337e-15
e18,0.16370980974326949,6.320636505398511e-06,1.2010354760007409e-05
e19,0.12868052664622254,0.00040018227942684924,0.0005640362179045471
e20,0.21177323374670728,4.403747719738117e-09,1.6839850042811016e-08
e21,0.23539024397383257,6.123208260849438e-11,3.815023305914334e-10
e22,0.2073169285161243,9.356610935543669e-09,3.289110715727239e-08
e23,0.16755706244999738,3.7824719926575e-06,7.474795695519785e-06
e24,0.008895420709296067,0.8074653670485378,0.8150423943325337
e25,0.09213223316143293,0.011426821475147094,0.013553734919077371
e26,0.11965706068474394,0.0010023623004946352,0.0013367517611475165
e27,0.20555071967240116,1.2555744274833172e-08,4.2696396286599475e-08
e28,0.16067622475833188,9.397817387921986e-06,1.7327579544116326e-05
e29,0.08131577752227727,0.025657103729202307,0.029367097907001375
e30,0.1279213728122828,0.0004333307329669202,0.0006074160394563346
e31,0.22579231423611426,3.6868024654675616e-10,1.8678047113748596e-09
