edge,r,p,q
e0,0.3252790757823349,5.1228324591285307e-20,1.4080713527162675e-18
e1,0.3028864602990967,1.9277467922080988e-17,2.6365746505114204e-16
e2,0.2207035021566323,9.248076715296791e-10,2.525202066882631e-09
e3,0.20960356854647186,6.369097659994732e-09,1.5157264223139818e-08
e4,0.2780753876351659,7.741548752039995e-15,5.793787896412031e-14
e5,0.22344049803867674,5.654985192536494e-10,1.6041939462790625e-09
e6,0.13518505853573648,0.0001988121308809484,0.00026080167465595736
e7,0.30510816398311386,1.094583103474964e-17,1.595765843161303e-16
e8,0.24201324717959852,1.6929703230189872e-11,6.316106004514032e-11
e9,0.26987284363417774,4.941587250251924e-14,3.0933496785156745e-13
e10,0.24359195902086958,1.239049467120525e-11,4.7305945036425656e-11
e11,0.21274422906543813,3.728604586418608e-09,9.18989735815337e-09
e12,0.2721808968404024,2.9518345215185514e-14,1.9380239847647368e-13
e13,0.1945908566280841,7.3499691448979e-08,1.4795102769923956e-07
e14,0.2295182883621656,1.85390765169027e-10,5.722469717486641e-10
e15,0.12366507289694884,0.0006716462683231287,0.0008360393281810385
e16,0.18402463372967443,3.6783860140302246e-07,6.700222025030419e-07
e17,0.32874670507359294,1.953793823297181e-20,6.009350399322086e-19
e18,0.18405101823588252,3.6640377919425054e-07,6.675304592113509e-07
e19,0.1925368372693131,1.012357925843631e-07,1.9954360860031952e-07
e20,0.21981997459993496,1.0824732176511166e-09,2.9240147999534707e-09
e21,0.28675188028469895,1.0172185466128778e-15,9.27710773492038e-15
e22,0.25902711531778516,5.210671738430374e-13,2.621141749109313e-12
e23,0.2148412707476038,2.5958256668376294e-09,6.5704567247607255e-09
e24,0.1188776070512119,0.0010820375627547873,0.0013220695953103866
e25,0.1499262388171913,3.617600185570883e-05,5.121309219097999e-05
e26,0.17960544472429402,7.022839065502198e-07,1.232402975339451e-06
e27,0.25151997482269434,2.4992228898716888e-12,1.0933070017244802e-11
e28,0.1783474861622794,8.418099114380951e-07,1.4611441114363796e-06
e29,0.12573236845726063,0.0005437912141448139,0.0006831289161973233
e30,0.14894861381908747,4.0712866831389775e-05,5.733395017653786e-05
e31,0.27937478022180834,5.7384284488222756e-15,4.424437277472425e-14
e32,0.21589586391355256,2.1606042295196924e-09,5.557914189172942e-09
e33,0.16628200262978018,4.4899168670089865e-06,7.069336628964225e-06
e34,0.23476539996315343,6.89911849601271e-11,2.2885890660218857e-10
e35,0.18984537608689697,1.5320330329767357e-07,2.9519226719826723e-07
e36,0.22796278309277895,2.4737877503684774e-10,7.447560700806763e-10
e37,0.26580486720662555,1.210789396556521e-13,6.992080380578865e-13
e38,0.21563238992210057,2.2621708589061293e-09,5.796703591582793e-09
e39,0.2264351068997013,3.2772806509537716e-10,9.674464931020833e-10
e40,0.2080720909086324,8.244485315179777e-09,1.925196641305768e-08
e41,0.13756598538624415,0.00015267799277799955,0.0002024043738779689
e42,0.28654478373429354,1.0685964844431093e-15,9.67033653497857e-15
e43,0.21804561498813207,1.4819800412126307e-09,3.912883484162312e-09
e44,0.30052209724931545,3.502016981131529e-17,4.493239066700027e-16
e45,0.24914031301071957,4.0649408696979435e-12,1.6976353264845555e-11
e46,0.1450107663614404,6.504051424526071e-05,8.948466769086616e-05
e47,0.2433186107755429,1.3080638040819363e-11,4.9771452583614785e-11
e48,0.23311127743354154,9.445979716159283e-11,3.0639771206449834e-10
e49,0.1539658458323277,2.20295816738963e-05,3.199216779614219e-05
e50,0.08540017726298205,0.019086202511143773,0.021260309542220045
e51,0.16458671987282442,5.6283411498790136e-06,8.751679081308983e-06
e52,0.24102935573566045,2.0542394630833074e-11,7.532589886743656e-11
e53,0.24116942344039935,1.9985504487142146e-11,7.350056168806666e-11
e54,0.310477298111657,2.7318910632797643e-18,4.6664920308383956e-17
e55,0.20731518456689738,9.35934040310956e-09,2.166715612167057e-08
e56,0.2463597309544143,7.1304115526832735e-12,2.8521646210733094e-11
e57,0.16194315550493596,7.970091009723417e-06,1.2160148055930077e-05
e58,0.1849456922096173,3.208185946419016e-07,5.897182739122337e-07
e59,0.2970608801883441,8.309581594845015e-17,9.76731681851245e-16
e60,0.21361825730228634,3.2076949379419413e-09,7.986129021023976e-09
e61,0.20426483869598494,1.5528197147912826e-08,3.4786797618311966e-08
e62,0.18618779524040413,2.664932134590063e-07,4.950723438978926e-07
e63,0.2241069089509408,5.011843658091285e-10,1.4336019663075544e-09
e64,0.23053615095612695,1.5332815871930446e-10,4.79075264329433e-10
e65,0.19424315366950606,7.761203571430557e-08,1.5570919555546737e-07
e66,0.17750364735988997,9.499446105913686e-07,1.635426745459662e-06
e67,0.27011755800772597,4.679958941731694e-14,2.9397469362519164e-13
e68,0.25997573480854264,4.258704679892469e-13,2.1825450200839588e-12
e69,0.18438137403282268,3.488887349985703e-07,6.372543209244194e-07
e70,0.19332891895208107,8.951403595591728e-08,1.7777737679867804e-07
e71,0.19542035580972222,6.452176570005131e-08,1.3101868749296134e-07
e72,0.22866515650057154,2.1722426703062687e-10,6.613774348086712e-10
e73,0.25372984489674133,1.5836371884538841e-12,7.214830597580654e-12
e74,0.2766117860712027,1.0826088693003517e-14,7.839853165602984e-14
e75,0.31157870654203734,2.047709767032937e-18,3.6111809646680143e-17
e76,0.15627632484002124,1.6494290809679867e-05,2.4267069873771208e-05
e77,0.24062412076667833,2.2240326759408632e-11,8.102938530066492e-11
e78,0.2322219767831676,1.1173285244820693e-10,3.575307547385943e-10
